0,685,350
1,683,349
2,687,353
3,686,354
4,686,356
5,686,357
6,684,356
7,682,357
8,682,357
9,682,356
10,683,355
11,682,356
12,684,354
13,682,354
14,683,353
15,683,351
16,682,352
17,682,351
18,678,351
19,678,347
20,674,346
21,674,348
22,675,346
23,672,343
24,672,339
25,670,337
26,671,338
27,669,338
28,670,336
29,668,336
30,669,335
31,668,334
32,668,333
33,670,332
34,667,328
35,668,329
36,665,327
37,667,330
38,663,328
39,666,332
40,664,328
41,662,327
42,663,330
43,664,325
44,661,328
45,661,325
46,664,324
47,660,324
48,655,324
49,656,322
50,657,325
51,657,321
52,656,322
53,658,320
54,658,319
55,657,319
56,654,317
57,655,314
58,655,315
59,653,313
60,648,312
61,650,314
62,656,314
63,654,311
64,656,317
65,654,314
66,651,314
67,653,314
68,654,313
69,650,315
70,648,317
71,650,312
72,651,312
73,652,315
74,650,314
75,645,313
76,650,311
77,650,312
78,646,308
79,650,313
80,648,307
81,644,306
82,646,306
83,645,308
84,643,307
85,644,308
86,646,309
87,647,304
88,644,306
89,644,302
90,645,310
91,643,306
92,647,309
93,645,310
94,643,309
95,641,307
96,640,308
97,636,310
98,642,305
99,634,306
100,635,307
101,633,309
102,633,306
103,622,304
104,633,307
105,628,308
106,627,305
107,636,303
108,630,301
109,621,303
110,624,308
111,625,302
112,619,304
113,621,306
114,620,308
115,617,304
116,610,301
117,616,302
118,618,302
119,617,300
120,622,300
121,614,300
122,618,294
123,611,293
124,609,295
125,612,290
126,612,297
127,609,294
128,612,297
129,603,288
130,608,299
131,610,294
132,607,299
133,610,297
134,605,300
135,601,294
136,601,290
137,602,291
138,608,289
139,606,292
140,604,296
141,613,294
142,605,290
143,602,293
144,601,288
145,604,288
146,609,285
147,601,283
148,605,276
149,603,283
150,607,289
151,609,284
152,601,284
153,610,287
154,602,283
155,600,286
156,598,282
157,593,277
158,598,285
159,601,289
160,607,285
161,601,281
162,599,280
163,595,284
164,590,279
165,593,282
166,598,286
167,599,279
168,593,280
169,594,279
170,587,278
171,592,271
172,592,280
173,592,290
174,594,286
175,599,282
176,594,285
177,595,279
178,593,275
179,590,280
180,593,275
181,588,281
182,591,277
183,591,279
184,586,282
185,584,282
186,590,280
187,587,279
188,583,281
189,588,281
190,576,288
191,584,282
192,584,284
193,580,284
194,589,285
195,580,284
196,578,278
197,580,280
198,576,287
199,577,285
200,582,287
201,577,294
202,571,290
203,575,292
204,563,284
205,565,289
206,565,285
207,564,285
208,571,288
209,568,286
210,563,286
211,563,286
212,565,285
213,570,285
214,568,289
215,562,284
216,565,280
217,564,283
218,563,281
219,564,281
220,567,284
221,570,281
222,560,287
223,562,280
224,564,282
225,562,283
226,561,282
227,562,277
228,572,274
229,561,276
230,561,278
231,552,280
232,553,268
233,551,276
234,553,273
235,557,273
236,543,273
237,551,269
238,545,278
239,546,273
240,547,269
241,546,269
242,550,272
243,541,276
244,544,273
245,541,275
246,545,273
247,541,268
248,545,273
249,547,273
250,547,269
251,551,266
252,549,263
253,550,266
254,548,261
255,548,262
256,555,257
257,545,262
258,552,259
259,554,260
260,546,257
261,549,258
262,546,254
263,546,255
264,548,255
265,546,254
266,552,253
267,551,243
268,554,247
269,549,251
270,549,252
271,548,244
272,544,249
273,545,245
274,549,252
275,555,248
276,553,247
277,545,247
278,540,237
279,543,242
280,538,243
281,543,240
282,542,235
283,544,235
284,547,238
285,547,237
286,553,238
287,543,240
288,552,234
289,545,233
290,546,240
291,542,227
292,541,236
293,542,239
294,537,229
295,536,236
296,530,242
297,534,239
298,529,232
299,536,245
300,534,241
301,531,237
302,531,237
303,527,238
304,535,237
305,533,235
306,533,232
307,539,224
308,532,230
309,526,227
310,532,227
